id,added,edited,beerdb_id,name,brewer,style,edition,abv,calories_oz,carbs_oz,original_gravity,specific_gravity,description,image,untappd_beer_id
1,2013-07-09 00:09:21.369094+00:00,2013-07-09 00:09:21.668461+00:00,,(512) Wit,2,68,,5.2000000000000002,,,,,"Made in the style of the Belgian wheat beers that are so refreshing, (512) Wit is a hazy ale spiced with coriander and domestic grapefruit peel. 50% US Organic 2-row malted barley and 50% US unmalted wheat and oats make this a light, crisp ale well suited for any occasion.",,
2,2013-07-09 00:09:21.694047+00:00,2013-07-09 00:09:21.698878+00:00,,(512) Pale,2,27,,5.7999999999999998,,,,,"With Organic 2-row malted barley, (512) Pale is a copper colored American Pale Ale that balances earthy hop bitterness and hop flavor with a rich malty body.",,
3,2013-07-09 00:09:21.731116+00:00,2013-07-09 00:09:21.739359+00:00,,(512) IPA,2,32,,7.0,,,,,"(512) India Pale Ale is a big, aggressively dry-hopped American IPA with smooth bitterness (~65 IBU) balanced by medium maltiness. Organic 2-row malted barley, loads of hops, and great Austin water create an ale with apricot and vanilla aromatics that lure you in for more.",,
4,2013-07-09 00:09:21.747923+00:00,2013-07-09 00:09:21.784175+00:00,,(512) Pecan Porter,2,26,,6.7999999999999998,,,,,"Nearly black in color, (512) Pecan Porter is made with Organic US 2-row and Crystal malts along with BairdÃ¢â‚¬â„¢s Chocolate and Black malts. Its full body and malty sweetness are balanced with subtle pecan aroma and flavor from locally grown pecans. Yet another true Austin original!",,
5,2013-07-09 00:09:21.808877+00:00,2013-07-09 00:09:21.851200+00:00,,(512) ALT,2,58,,6.0,,,,,"(512) ALT is a German-style amber ale that is fermented cooler than typical ales and cold conditioned like a lager. ALT means Ã¢â‚¬Å“oldÃ¢â‚¬Â in German and refers to a beer style made using ale yeast after many German brewers had switched to newly discovered lager yeast. This ale has a very smooth, yet pronounced, hop bitterness with a malty backbone and a characteristic German yeast character. Made with 98% Organic 2-row and Munch malts and US noble hops.",,
6,2013-07-09 00:09:21.906975+00:00,2013-07-09 00:09:21.951120+00:00,,(512) Bruin,2,39,,7.5999999999999996,,,,,"At once cuddly and ferocious, (512) BRUIN combines a smooth, rich maltiness and mahogany color with a solid hop backbone and stealthy 7.6% alcohol. Made with Organic 2 Row and Munich malts, plus Chocolate and Crystal malts, domestic hops, and a touch of molasses, this brew has notes of raisins, dark sugars, and cocoa, and pairs perfectly with food and the crisp fall air.",,
7,2013-07-09 00:09:21.983721+00:00,2013-07-09 00:09:22.006787+00:00,,(512) Whiskey Barrel Aged Double Pecan Porter,2,26,,8.1999999999999993,,,,,"Our first barrel project is in kegs and on itÃ¢â‚¬â„¢s way to beer bars around Austin. This is a bigger, bolder version of our mainstay Pecan Porter, with a richer finish. Two months on recently emptied Jack Daniels select barrels imparted a wonderful vanilla character from the oak and a pleasant amount of whiskey nose and flavor. All in all, IÃ¢â‚¬â„¢m really proud of the hard work and effort put into this beer. Our first attempt at brewing it and our first attempt at managing barrels has paid off for everyone! Seek out this beer, but donÃ¢â‚¬â„¢t put it off. There is a very limited number of kegs available and it might go fastÃ¢â‚¬Â¦",,
8,2013-07-09 00:09:22.049844+00:00,2013-07-09 00:09:22.070656+00:00,,One,2,66,,8.0,,,,,"Our first anniversary release is a Belgian-style strong ale that is amber in color, with a light to medium body. Subtle malt sweetness is balanced with noticeable hop flavor, light raisin and mildly spicy, cake-like flavors, and is finished with local wildflower honey aromas. Made with 80% Organic Malted Barley, Belgian Specialty grains, Forbidden Fruit yeast, domestic hops and Round Rock local wildflower honey, this beer is deceptively high in alcohol. ",,
9,2013-07-09 00:09:22.097771+00:00,2013-07-09 00:09:22.116863+00:00,,South Park Blonde,3,38,,5.0,,,,,"Light golden color. Sweet dry aroma with crisp, clear bitterness. Brewed with imported German hops.The perfect beer to have when you'd like to have more than one.",,
10,2013-07-09 00:09:22.172731+00:00,2013-07-09 00:09:22.195672+00:00,,Bitter American,3,5,,3.6000000000000001,,,,,"An American session beer. Loaded with hop character and a malty presence, but lower in alcohol.",,
