id,added,edited,beerdb_id,name,country,origin_state,origin_city,production,url,description,latitude,longitude,accuracy,image
1,2013-07-08 23:33:01.177688+00:00,2013-07-08 23:33:01.261244+00:00,,Not Available,,,,,,,,,,
2,2013-07-08 23:33:01.326378+00:00,2013-07-08 23:33:01.378447+00:00,,(512) Brewing Company,USA,Texas,Austin,,http://512brewing.com/,"(512) Brewing Company is a microbrewery located in the heart of Austin that brews for the community using as many local, domestic and organic ingredients as possible.",30.223400000000002,-97.7697,rooftop,
3,2013-07-08 23:33:01.399675+00:00,2013-07-08 23:33:01.420407+00:00,,21st Amendment Brewery Cafe,USA,California,San Francisco,,http://www.21st-amendment.com/,The 21st Amendment Brewery offers a variety of award winning house made brews and American grilled cuisine in a comfortable loft like setting. Join us before and after Giants baseball games in our outdoor beer garden. A great location for functions and parties in our semi-private Brewers Loft. See you soon at the 21A!,37.782499999999999,-122.393,rooftop,
4,2013-07-08 23:33:01.474914+00:00,2013-07-08 23:33:01.485817+00:00,,3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij,BEL,Vlaams Brabant,Beersel,,http://www.3fonteinen.be/index.htm,,50.766800000000003,4.3080999999999996,interpolated,
5,2013-07-08 23:33:01.519764+00:00,2013-07-08 23:33:01.565721+00:00,,Aass Brewery,NOR,,Drammen,,http://www.aass.no,"Aass Brewery was established in 1834 and is the oldest brewery in Norway today. It is located in the city of Drammen, approximately 25 miles south of our capital, Oslo. You will spot it at the banks of the Drammen River at the very same place as it has been since 1834. The annual production of beer is aprox. 10 mill liter (85 000 barrels), and together with the production of 18 mill liters of soft drinks and mineralwater it gives employment to approximately 150 people.  You may wonder how we got our name ? It was a young fellow with the name Poul Lauritz Aass that bought the brewery in 1860. Since then it has been in the same family, and is today run by the 4th generation of Aass. (By the way - A real Norwegian viking would pronounce it Ouse)  The brewery is proud of its history. To us the quality of what we produce has always been and always will be the main issue. In 1516, Duke Wilhelm of Bavaria established a law admitting only malted barley, hops yeast, and water as ingredients in the production of beer. The law is known as the purity law and Aass Brewery is still loyal to Duke Wilhelm of Bavaria. In Norway the brewery is known for outstanding quality and large number of different beer types.",59.745100000000001,10.2135,approximate,
6,2013-07-08 23:33:01.619510+00:00,2013-07-08 23:33:01.696088+00:00,,Abbaye de Leffe,BEL,Namur,Dinant,,,,50.260599999999997,4.9122000000000003,approximate,
7,2013-07-08 23:33:01.732519+00:00,2013-07-08 23:33:01.758023+00:00,,Abbaye de Maredsous,BEL,Namur,Dene,,http://www.maredsous10.be/,,50.3093,4.7645999999999997,geometric_center,
8,2013-07-08 23:33:01.781493+00:00,2013-07-08 23:33:01.807877+00:00,,Abbaye Notre Dame du St Remy,BEL,Namur,Rochefort,,,,50.1999,5.2276999999999996,interpolated,
9,2013-07-08 23:33:01.832444+00:00,2013-07-08 23:33:01.880145+00:00,,Abbey Wright Brewing/Valley Inn,USA,Pennsylvania,Williamsport,,http://www.valleyinnonline.com/,,41.222499999999997,-77.036900000000003,interpolated,
10,2013-07-08 23:33:01.906775+00:00,2013-07-08 23:33:01.915325+00:00,,Aberdeen Brewing,USA,Indiana,Valparaiso,,,,41.4392,-87.107799999999997,interpolated,
11,2013-07-08 23:33:01.923846+00:00,2013-07-08 23:33:01.955466+00:00,,Abita Brewing Company,USA,Louisiana,Abita Springs,,http://www.abita.com/,"Founded in 1986, the Abita Brewing Company is nestled in the piney woods 30 miles north of New Orleans. In its first year, the brewery produced 1,500 barrels of beer. We had no idea what we started. Customers loved our beer! By 1994, we outgrew the original site (now our 100 seat brew pub) and were forced to move up the road to a larger facility to keep up with demand. Today, we brew over 62,000 barrels of beer and 3,000 barrels of root beer, and we're still growing! But don't let our growth fool you. Our lagers and ales are still brewed in small batches, hand-crafted by a team of dedicated workers with only the highest ideals of quality. This pride, along with our brewing process, is what creates our great brews. Abita uses only the finest ingredients  British and American barley, German yeast, European and Washington State hops and the pure artesian water of Abita Springs. In Abita, we are blessed with the purest of water. Drawn from our deep wells, our pristine water is not altered in any way. Abita Beer has no preservatives, additives or stabilizers and is cold filtered. The result is beer that is the finest and freshest tasting as proven by our loyal customers and great chefs of the south who use Abita Beer in their recipes. We're proud of our brewery and the beers we make. Try Abita Beer today and taste a bit of the South!",30.504899999999999,-89.944000000000003,approximate,
12,2013-07-08 23:33:02.014716+00:00,2013-07-08 23:33:02.031798+00:00,,Adnams & Co.,GBR,Suffolk,Southwold,,http://www.adnams.co.uk,"Adnams is one of England's oldest and most respected breweries, but despite its rich heritage and enduring fame, Adnams is not a company willing to rest on its laurels. Its continued commitment to quality and innovative packaging designs has made it Britain's fastest growing brewery over the last two years. To top it off, Adnams' head brewer was recently chosen as Britain's Brewer of the Year by a panel of his peers. The aggressive team at Adnams is raring to go and keen to make a mark in the U.S.",52.3277,1.6801999999999999,approximate,
