id,added,edited,beerdb_id,name
1,2013-07-08 22:59:12.025721+00:00,2013-07-08 22:59:12.062074+00:00,,Not Available
2,2013-07-08 22:59:12.095052+00:00,2013-07-08 22:59:12.124565+00:00,,Classic English-Style Pale Ale
3,2013-07-08 22:59:12.148372+00:00,2013-07-08 22:59:12.192843+00:00,,English-Style India Pale Ale
4,2013-07-08 22:59:12.368114+00:00,2013-07-08 22:59:12.393645+00:00,,Ordinary Bitter
5,2013-07-08 22:59:12.426049+00:00,2013-07-08 22:59:12.429334+00:00,,Special Bitter or Best Bitter
6,2013-07-08 22:59:12.452131+00:00,2013-07-08 22:59:12.462089+00:00,,Extra Special Bitter
7,2013-07-08 22:59:12.494294+00:00,2013-07-08 22:59:12.535879+00:00,,English-Style Summer Ale
8,2013-07-08 22:59:12.559418+00:00,2013-07-08 22:59:12.571358+00:00,,Scottish-Style Light Ale
9,2013-07-08 22:59:12.583869+00:00,2013-07-08 22:59:12.603501+00:00,,Scottish-Style Heavy Ale
10,2013-07-08 22:59:12.614971+00:00,2013-07-08 22:59:12.627216+00:00,,Scottish-Style Export Ale
11,2013-07-08 22:59:12.648318+00:00,2013-07-08 22:59:12.658056+00:00,,English-Style Pale Mild Ale
12,2013-07-08 22:59:12.703855+00:00,2013-07-08 22:59:12.715821+00:00,,English-Style Dark Mild Ale
13,2013-07-08 22:59:12.732829+00:00,2013-07-08 22:59:12.770232+00:00,,English-Style Brown Ale
14,2013-07-08 22:59:12.798190+00:00,2013-07-08 22:59:12.824729+00:00,,Old Ale
15,2013-07-08 22:59:12.849582+00:00,2013-07-08 22:59:12.858121+00:00,,Strong Ale
16,2013-07-08 22:59:12.894912+00:00,2013-07-08 22:59:12.913607+00:00,,Scotch Ale
17,2013-07-08 22:59:12.931285+00:00,2013-07-08 22:59:12.960285+00:00,,British-Style Imperial Stout
18,2013-07-08 22:59:12.982092+00:00,2013-07-08 22:59:12.996127+00:00,,British-Style Barley Wine Ale
19,2013-07-08 22:59:13.021251+00:00,2013-07-08 22:59:13.036308+00:00,,Robust Porter
20,2013-07-08 22:59:13.059353+00:00,2013-07-08 22:59:13.082471+00:00,,Brown Porter
21,2013-07-08 22:59:13.098063+00:00,2013-07-08 22:59:13.107854+00:00,,Sweet Stout
22,2013-07-08 22:59:13.150400+00:00,2013-07-08 22:59:13.163363+00:00,,Oatmeal Stout
23,2013-07-08 22:59:13.175833+00:00,2013-07-08 22:59:13.213924+00:00,,Irish-Style Red Ale
24,2013-07-08 22:59:13.232276+00:00,2013-07-08 22:59:13.237948+00:00,,Classic Irish-Style Dry Stout
25,2013-07-08 22:59:13.253829+00:00,2013-07-08 22:59:13.285613+00:00,,Foreign (Export)-Style Stout
26,2013-07-08 22:59:13.305334+00:00,2013-07-08 22:59:13.329399+00:00,,Irish-Style Porter
27,2013-07-08 22:59:13.350475+00:00,2013-07-08 22:59:13.374506+00:00,,American-Style Pale Ale
28,2013-07-08 22:59:13.394453+00:00,2013-07-08 22:59:13.404358+00:00,,Fresh Hop Ale
29,2013-07-08 22:59:13.414853+00:00,2013-07-08 22:59:13.441121+00:00,,Pale American-Belgo-Style Ale
30,2013-07-08 22:59:13.453574+00:00,2013-07-08 22:59:13.486619+00:00,,Dark American-Belgo-Style Ale
